"Módulo 1, Leccion 1",
Parte 1,18:03:11
Pedagogical Page Open Time,18:03:11
Pedagogical Page Close Time,18:03:12
Multiplechoice Page Open Time,18:03:12
Multiplechoice Page Close Time,18:03:15
Parte 2,18:03:15
Pedagogical Page Open Time,18:03:15
Parte 1,18:03:15
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:03:15
Pedagogical Page Close Time,18:03:18
Pedagogical2 Page Open Time,18:03:18
Pedagogical2 Page Close Time,18:03:19
Parte 3,18:03:19
Pedagogical Page Open Time,18:03:19
Pedagogical Page Close Time,18:03:21
Multiplechoice Page Open Time,18:03:21
Checkbox Selected: Verdadero,18:03:24
Multiplechoice Page Close Time,18:03:25
Parte 4,18:03:25
Draganddrop Page Open Time,18:03:25
Correct Answer Selected: print(729),18:03:27
Draganddrop Page Close Time,18:03:28
Pedagogical Page Open Time,18:03:28
Pedagogical Page Close Time,18:03:29
Parte 5,18:03:29
Multiplechoice Page Open Time,18:03:29
Multiplechoice Page Close Time,18:03:32
Pedagogical Page Open Time,18:03:32
Checkbox Selected: comillas '' ,18:03:32
Pedagogical Page Close Time,18:03:33
Parte 6,18:03:33
Pedagogical Page Open Time,18:03:33
Pedagogical Page Close Time,18:03:33

"Modulo 1, Leccion 2",
Parte 1,18:03:36
Pedagogical Page Open Time,18:03:36
Pedagogical Page Close Time,18:03:37
Pedagogical2 Page Open Time,18:03:37
Pedagogical2 Page Close Time,18:03:37
Pedagogical Page Open Time,18:03:37
Pedagogical Page Close Time,18:03:39
Pedagogical2 Page Open Time,18:03:39
Pedagogical2 Page Close Time,18:03:40
Parte 2,18:03:40
Completeblankspace Page Open Time,18:03:40
Correct Answer Selected: +,18:03:43
Completeblankspace Page Close Time,18:03:44
Pedagogical Page Open Time,18:03:44
Pedagogical Page Close Time,18:03:44
Parte 3,18:03:44
Draganddrop Page Open Time,18:03:44
Draganddrop Page Close Time,18:03:48
Pedagogical Page Open Time,18:03:48
Correct Answer Selected: print(42 * 3),18:03:48
Pedagogical Page Close Time,18:03:49
Parte 4,18:03:49
Multiplechoice Page Open Time,18:03:49
Correct Answer Selected: 4.0,18:03:51
Multiplechoice Page Close Time,18:03:52
Pedagogical Page Open Time,18:03:52
Pedagogical Page Close Time,18:03:53
Parte 5,18:03:53
Draganddrop Page Open Time,18:03:53
Correct Answer Selected: Entero:2,18:03:59
Correct Answer Selected: Flotante:3.14,18:03:59
Draganddrop Page Close Time,18:04:00
Pedagogical Page Open Time,18:04:00
Pedagogical Page Close Time,18:04:00
Parte 6,18:04:00
Pedagogical Page Open Time,18:04:00
Pedagogical Page Close Time,18:04:01
Pedagogical2 Page Open Time,18:04:01
Pedagogical2 Page Close Time,18:04:02
Parte 7,18:04:02
Pedagogical Page Open Time,18:04:02
Pedagogical Page Close Time,18:04:02

"Modulo 1, Leccion 3",
Parte 1,18:04:09
Pedagogical Page Open Time,18:04:09
Pedagogical Page Close Time,18:04:10
Pedagogical2 Page Open Time,18:04:10
Pedagogical2 Page Close Time,18:04:11
Parte 2,18:04:11
Multiplechoice Page Open Time,18:04:11
Multiplechoice Page Close Time,18:04:15
Pedagogical Page Open Time,18:04:15
Checkbox Selected: 'Viernes',18:04:15
Checkbox Selected: 'The Lord of the Rings',18:04:15
Pedagogical Page Close Time,18:04:16
Parte 3,18:04:16
Draganddrop Page Open Time,18:04:16
Draganddrop Page Close Time,18:04:22
Pedagogical Page Open Time,18:04:22
Pedagogical Page Close Time,18:04:22
Parte 4,18:04:22
Multiplechoice Page Open Time,18:04:22
Correct Drop Event: Water,18:04:22
Correct Drop Event: +,18:04:22
Correct Drop Event: Park,18:04:22
Multiplechoice Page Close Time,18:04:27
Draganddrop Page Open Time,18:04:27
Checkbox Selected: '100',18:04:27
Checkbox Selected: 'Manzana',18:04:27
Correct Answer Selected: 100,18:04:35
Correct Answer Selected: 100.00,18:04:35
Correct Answer Selected: 'cien',18:04:35
Draganddrop Page Close Time,18:04:36
Parte 5,18:04:36
Pedagogical Page Open Time,18:04:36
Pedagogical Page Close Time,18:04:36
Pedagogical2 Page Open Time,18:04:36
Pedagogical2 Page Close Time,18:04:37
Parte 6,18:04:37
Pedagogical Page Open Time,18:04:37
Pedagogical Page Close Time,18:04:37

"Modulo 1, Leccion 4",
Parte 1,18:04:45
Pedagogical Page Open Time,18:04:45
Pedagogical Page Close Time,18:04:47
Draganddrop Page Open Time,18:04:47
Draganddrop Page Close Time,18:04:55
Parte 2,18:04:55
Pedagogical Page Open Time,18:04:55
Pedagogical Page Close Time,18:04:55
Draganddrop Page Open Time,18:04:55
Correct Answer Selected: Entero,18:04:55
Correct Answer Selected: Flotante,18:04:55
Correct Answer Selected: Cadena,18:04:55
Draganddrop Page Close Time,18:05:03
Parte 3,18:05:03
Pedagogical Page Open Time,18:05:03
Pedagogical Page Close Time,18:05:03
Completeblankspace Page Open Time,18:05:03
Correct Drop Event: print('Nosotros somos los campeones amigos'),18:05:03
Correct Drop Event: print('Y seguiremos luchando hasta el final'),18:05:03
Correct Drop Event: print('Somos los campeones'),18:05:03
Completeblankspace Page Close Time,18:05:06
Parte 4,18:05:06
Pedagogical Page Open Time,18:05:06
Correct Answer Selected: print,18:05:06
Pedagogical Page Close Time,18:05:07
Draganddrop Page Open Time,18:05:07
Correct Answer Selected: sep,18:05:10
Correct Answer Selected: '-',18:05:10
Draganddrop Page Close Time,18:05:11
Parte 5,18:05:11
Pedagogical Page Open Time,18:05:11
Pedagogical Page Close Time,18:05:11
Draganddrop Page Open Time,18:05:11
Draganddrop Page Close Time,18:05:15
Parte 6,18:05:15
Pedagogical Page Open Time,18:05:15
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",18:05:15
Pedagogical Page Close Time,18:05:16
Pedagogical2 Page Open Time,18:05:16
Pedagogical2 Page Close Time,18:05:17
Parte 7,18:05:17
Pedagogical Page Open Time,18:05:17
Pedagogical Page Close Time,18:05:18
Pedagogical2 Page Open Time,18:05:18
Pedagogical2 Page Close Time,18:05:18

"Modulo 1, Leccion 5",
Parte 1,18:05:21
Pedagogical2 Page Open Time,18:05:21
Pedagogical2 Page Close Time,18:05:22
Parte 2,18:05:22
Pedagogical Page Open Time,18:05:22
Pedagogical Page Close Time,18:05:23
Pedagogical2 Page Open Time,18:05:23
Pedagogical2 Page Close Time,18:05:24
Parte 3,18:05:24
Multiplechoice Page Open Time,18:05:24
Multiplechoice Page Close Time,18:05:26
Draganddrop Page Open Time,18:05:26
Checkbox Selected: valor.,18:05:26
Draganddrop Page Close Time,18:05:30
Parte 4,18:05:30
Pedagogical Page Open Time,18:05:30
Correct Drop Event: edad,18:05:30
Correct Drop Event: 18,18:05:30
Pedagogical Page Close Time,18:05:31
Completeblankspace Page Open Time,18:05:31
Correct Answer Selected: 2028,18:05:33
Completeblankspace Page Close Time,18:05:36
Parte 5,18:05:36
Pedagogical Page Open Time,18:05:36
Pedagogical Page Close Time,18:05:38
Multiplechoice Page Open Time,18:05:38
Checkbox Selected: 42,18:05:41
Checkbox Selected: 42,18:05:41
Multiplechoice Page Close Time,18:05:45
Parte 6,18:05:45
Multiplechoice Page Open Time,18:05:45
Checkbox Selected: 24,18:05:45
Checkbox Selected: 12,18:05:48
Multiplechoice Page Close Time,18:05:49
Pedagogical Page Open Time,18:05:49
Pedagogical Page Close Time,18:05:49
Parte 7,18:05:49
Multiplechoice Page Open Time,18:05:49
Multiplechoice Page Close Time,18:05:53
Pedagogical Page Open Time,18:05:53
Checkbox Selected: un_nombre_variable,18:05:53
Pedagogical Page Close Time,18:05:54
Parte 8,18:05:54
Multiplechoice Page Open Time,18:05:54
Checkbox Selected: Balance: € 200,18:05:57
Multiplechoice Page Close Time,18:05:58
Pedagogical Page Open Time,18:05:58
Pedagogical Page Close Time,18:05:59
Parte 9,18:05:59
Pedagogical Page Open Time,18:05:59
Pedagogical Page Close Time,18:06:00
Pedagogical2 Page Open Time,18:06:00
Pedagogical2 Page Close Time,18:06:00

